Company,Sector,Stage,Amount,Location,About,Funding Year
STAGE,Entertainment,Other Stages,12127.35,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020
Kaagaz Scanner,Scanning App,Other Stages,6973.23,Gurugram,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020
Prolixr,Skincare Startup,Early Stage,36382.05,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020
Country Delight,Food And Beverages,Mid Stage,303183.71,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020
Krimanshi,Biotechnology Company,Early Stage,7276.41,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020
Kitchens Centre,Food Service Infrastructure,Other Stages,36382.05,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020
Oga Fit's,Fitness Startup,Other Stages,36382.05,Bengaluru,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020
BitClass,Paas Startup,Early Stage,24254.7,Bengaluru,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020
Jade Forest,Beverages,Early Stage,3031.84,New Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020
Ather Energy,Automobiles,Late Stage,424457.19,Bengaluru,Ather Energy is a manufacturer of electric scooters.,2020
Steradian Semiconductors,Deeptech,Early Stage,36382.05,Bengaluru,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020
CHARGE+ZONE,Ev Startup,Other Stages,36382.05,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020
