Company,Location,Sector,About,Amount,Stage,Funding Year
Indifi,Gurugram,Fintech,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent,5000000.0,Debt,2021
Firmway,Mumbai,Fintech,Firmway is a platform that digitizes balance confirmation and reconciliation process,0.0,Pre-seed,2021
Say Cheese,Mumbai,Femtech,Say Cheese is the first holistic womenhappiness platform in India focused to increase the happiness of women through personalized solutions,1000000.0,Seed,2021
Indic Inspirations,Pune,Cultural,Indian Souvenirs online that reflect Indian tradition culture  stories Best for personal gifting and corporate gifting,300000.0,,2021
Bimaplan,Mumbai,Fintech,Affordable insurance for the next billion Indians,500000.0,Seed,2021
Yap,Chennai,Fintech,YAP is the API Platform for Banking and Payments products in Asia More than 200 Fintechs across Asia rely on YAP,10000000.0,Series B,2021
Leap Finance,Bengaluru,Fintech,Leap Finance is a fintech startup for Indian students pursuing international higher education,17000000.0,Series B,2021
Blacksoil Nbfc,Mumbai,Fintech,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors,3000000.0,,2021
Oyo,Gurugram,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences,200000000.0,,2021
Max Healthcare,New Delhi,Healthcare,Max Healthcare is one of the leading chain of hospitals in India,140000000.0,,2021
4Basecare,Bengaluru,Healthtech,4baseCare develops a unified and patientcentric ecosystem to fight cancer,2000000.0,Pre-series A,2021
Ezstays,New Delhi,Edtech,Ezstays is a leading studentlife network providing hostels and PG accommodation with toptier living facilities at the best prices,400000.0,Seed,2021
Stylework,Gurugram,Co-Working,Stylework is an unconventional coworking space aggregator that is going to change the way people work,500000.0,Pre-series A,2021
Kinara Capital,Bengaluru,Fintech,Kinara Capital is a financing company that provides flexible collateralfree loans to small business entrepreneurs,6000000.0,,2021
Riskcovry,Bengaluru,Insuretech,Riskcovry is an Insuranceinabox model offers a onestopshop platform to cater to any businesss digital insurance needs,5000000.0,Series A,2021
Nodwin,Gurugram,Gaming,NODWIN Gaming is a gaming solutions company and creator of esports events,20000000.0,,2021
Quizizz,Bengaluru,Edtech,Quizizz is a Education based startup,12500000.0,Series A,2021
Ecom Express,New Delhi,E-Commerce,Ecom Express is an endtoend technologyenabled logistics solutions provider to the Indian ecommerce industry,20000000.0,,2021
Turtlemint,Mumbai,Insuretech,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers,45000000.0,Series D,2021
Captain Fresh,Bengaluru,Supply Chain Platform,Captain Fresh is a freshwater fish and seafood supply chain platform,3000000.0,Seed,2021
Northern Arc,Chennai,Fintech,Northern Arc Capital Formerly known as IFMR Capital is a NonBanking Finance Company,10000000.0,Debt,2021
Qoohoo,Bengaluru,Social Platform,A platform for creators to build immersive connections with their fans and followers and monetize them,800000.0,Seed,2021
Igl,Mumbai,Gaming,Indian Gaming League is the premier eSports platform in India,500000.0,,2021
Ampm,Gurugram,E-Commerce,247 convenience store,200000.0,,2021
The Eplane,Chennai,Drone,Transforming the mobility landscape using aerial transport Currently we build drones for industrial applications,1000000.0,Seed,2021
Cashify,Gurugram,E-Commerce,Cashifyin is an ecommerce platform for reselling used electronic gadgets,15000000.0,,2021
Bijnis,New Delhi,B2B Service,Digitizing the Factories of the Unorganised Industries,0.0,,2021
Questt,Gurugram,Edtech,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content,1000000.0,Seed,2021
Dealshare,Jaipur,E-Commerce,DealShare is a Social Commerce Startup,3000000.0,Debt,2021
Euler Motors,New Delhi,Automotive,Electric Light Commercial Vehicle,4000000.0,Series A,2021
Blume Ventures,Mumbai,Fintech,Blume Ventures provides preseries A and early stage funding to techfocusedtechenabled ventures,40000000.0,,2021
Koinearth,Bengaluru,Blockchain Startup,Koinearth is a stealth mode startup working at the intersection of blockchains machine learning and mechanism design,1800000.0,Pre-series A,2021
Imaginxp,Pune,Edtech,ImaginXP is a curriculum company with a focus on training and certification in UX Design and Design Thinking,1500000.0,,2021
Virohan,Gurugram,Edtech,Virohan is an edtech company using technology to prepare a futureready workforce for the healthcare industry,0.0,,2021
Apna.Co,Bengaluru,Recruitment,Apna is a recruitment platform that gives opportunities for blue or grey collar jobs,12500000.0,,2021
Ideaforge,Mumbai,Drone,ideaForge is an Indian company engaged in the development of unmanned aerial systems,2000000.0,,2021
Clairco,Bengaluru,Cleantech,Clairco provides enhanced air purification and realtime insights for breathable air indoors,500000.0,,2021
Northern Arc,Chennai,Fintech,Northern Arc Capital Formerly known as IFMR Capital is a NonBanking Finance Company,50000000.0,Debt,2021
Lenskart,"Faridabad, Haryana",Fashion,Lenskart is an Indiabased online shopping portal for eyewear,95000000.0,,2021
Parksmart,New Delhi,Automotive,ParkSmart is a parking management application,0.0,Seed,2021
Virohan,Gurugram,Edtech,Virohan is an EdTech company that offers healthcare vocational training to students to build a career in the healthcare industry,3000000.0,Series A,2021
Banksathi,New Delhi,Fintech,Bank Sathi provides loans insurance cards comparison and approval facility,200000.0,Seed,2021
Spark Studio,Bengaluru,Edtech,Online courses to build creativity and confidence in children through extracurricular learning,0.0,Seed,2021
Blissclub,Bengaluru,Fashion,BlissClub is a community first womens activewear brand It is a DirecttoConsumer brand in the active lifestyle space founded in 2020 by ISB Alum Minu Margeret,2000000.0,Seed,2021
Bricspaces,Bengaluru,Real Estate,A proptech company that finds and customizes offices living or retail spaces based on your requirements,350000.0,Pre-seed,2021
Ansr,Bengaluru,Consulting,ANSR Consulting is providing endtoend services for companies setting up captive service centers,15000000.0,Series B,2021
Keito,Pune,Ai Company,NOCODE  Humanassisted machine learning platform for document processing to break information silos for enterprises,0.0,Seed,2021
Reccy Adventures,Gurugram,Sports Startup,Reccy Adventures is an adventure sports startup,400000.0,Seed,2021
Magenta Ev,Mumbai,Renewable Energy,Magenta is in the business of Enabling electric mobility  Making electricity clean,15000000.0,Series A,2021
Karbon Card,Bengaluru,Fintech,Karbon Card is a financial platform for Indian entrepreneurs,1000000.0,Pre-series A,2021
Wysa,Bengaluru,Ai Company,Wysa is an AI conversational agent that has been shown to help improve mental health,5000000.0,Series A,2021
Agnikul,Chennai,Spacetech,Agnikul is a space tech startup that designs manufactures tests and launch orbital class rockets for micro and nano satellites,11000000.0,Series A,2021
Legalpay,New Delhi,Fintech,A trusted financial partner for advocates and corporate,0.0,Seed,2021
Glamplus,Bengaluru,Saas Startup,Indias 1 SaaS based Salon experience Software,200000.0,Pre-series A,2021
Tekie,Gurugram,Edtech,Tekie is a live coding platform for kids that uses the power of storytelling to make learning to code a movielike experience,1500000.0,Seed,2021
Asirvad Microfinance,Chennai,Fintech,Asirvad Microfinance provides microfinance loans to women from a poor and lowincome households,15000000.0,,2021
Avalon Labs,Bengaluru,Fintech,Avalon Labs incubates invests partners with and spearheads technology companies that are on the cutting edge,0.0,Pre-series A,2021
Betterhalf.Ai,Bengaluru,Matrimony,Indias first and only matrimony app without parents 10L verified profiles 20L matches 50K relationships 3K marriages,3000000.0,Pre-series A,2021
Koo,Bengaluru,Social Media,Koo App operates as a microblogging app,30000000.0,Series B,2021
Rezo.Ai,Noida,Ai Startup,Conversational AI platform  Innovate the way you communicate,0.0,Seed,2021
Mentoria,Mumbai,Edtech,Mentoria is a holistic career discovery platform that enables students to discover themselves and the careers they will enjoy and excel at,200000.0,Pre-series A,2021
Cuvette Tech,Bengaluru,Human Resources,Help startups to find interns who are verified on their software development skills and problemsolving abilities,1800000.0,Seed,2021
Clensta,New Delhi,Biotechnology,A biotechnology startup was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation,600000.0,,2021
Farmart,Gurugram,Agritech,FarMart is a microSaaS platform that helps food businesses source high quality produce at affordable prices,24000000.0,Pre-series A,2021
Kodo Card,Mumbai,Fintech,Kodo card is a corporate card for new economy businesses in India,8000000.0,Seed,2021
Polygon,Mumbai,Crypto,Polygon is a blockchain scalability platform,0.0,,2021
Get My Parking,New Delhi,Mobility,Get My Parking is a B2B PlatformasaService company,6000000.0,,2021
